"Trait"	"Frequency"
"Metabolite levels  (X-11787)"	29
"Metabolite levels (5-HIAA)"	13
"Metabolite levels (5-HIAA/ MHPG Ratio)"	11
"Metabolite levels (Dihydroxy docosatrienoic acid)"	20
"Metabolite levels (HVA-5-HIAA Factor score)"	12
"Metabolite levels (HVA)"	13
"Metabolite levels (HVA/5-HIAA ratio)"	9
"Metabolite levels (HVA/MHPG ratio)"	25
"Metabolite levels (MHPG)"	20
"Metabolite levels (Pyroglutamine)"	23
"Methamphetamine dependence"	1
"Methotrexate clearance (acute lymphoblastic leukemia)"	1
"Methotrexate phramacokinetics (acute lymphoblastic leukemia)"	21
"Migraine"	75
"Migraine - clinic-based"	37
"Migraine with aura"	23
"Migraine without aura"	32
"Milk allergy"	5
"Mitochondrial DNA levels"	21
"Mixed cryoglobulinemia vasculitis in chronic hepatitis C infection"	2
"Molar-incisor hypomineralization"	5
"Monocyte chemoattractant protein-1"	3
"Monocyte count"	17
"Monocyte early outgrowth colony forming units"	3
"Morbidity-free survival"	5
"Morphine dose requirement in tonsillectomy and adenoidectomy surgery"	1
"Mortality in heart failure"	11
"Motion sickness"	35
"Moyamoya disease"	1
"MRI atrophy measures"	13
"Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)"	7
"Multiple myeloma"	9
"Multiple myeloma (hyperdiploidy)"	14
"Multiple myeloma (IgH translocation)"	25
"Multiple sclerosis"	177
"Multiple sclerosis (age of onset)"	8
"Multiple sclerosis (OCB status)"	12
"Multiple sclerosis (severity)"	12
"Multiple sclerosis or amyotrophic lateral sclerosis"	1
"Multiple sclerosis--Brain Glutamate Levels"	5
"Musician's dystonia"	3
"Myasthenia gravis"	9
"Myeloproliferative neoplasms"	1
"Myocardial infarction"	6
"Myocardial infarction (early onset)"	9
"Myocardial infarction in coronary artery disease"	1
"Myopia"	4
"Myopia (pathological)"	81
"Myopia (severe)"	2
"N-glycan levels"	8
"Narcolepsy"	9
"Narcolepsy (age of onset)"	3
"Narcolepsy (onset before 2009 H1N1 influenza pandemic)"	2
"Narcolepsy with cataplexy"	4
"Nasopharyngeal carcinoma"	11
"Natriuretic peptide levels"	3
"Neonatal lupus"	5
"Nephrolithiasis"	3
"Nephropathy"	6
"Nephrotic syndrome (acquired)"	2
"Neuranatomic and neurocognitive phenotypes"	1
"Neuritic plaque"	19
"Neuroblastoma"	10
"Neuroblastoma (high-risk)"	1
"Neurofibrillary tangles"	22
"Neuropathic pain in type 2 diabetes"	2
"Neuroticism"	8
"Neutrophil count"	31
"Neutrophil count in HIV-infection"	2
"Nevirapine-induced rash"	3
"Nicotine dependence"	4
"Nicotine glucouronidation"	2
"Nicotine use"	6
"Nodular sclerosis Hodgkin lymphoma"	8
"Non-albumin protein levels"	5
"Non-alcoholic fatty liver disease"	4
"Non-alcoholic fatty liver disease histology (AST)"	6
"Non-alcoholic fatty liver disease histology (lobular)"	13
"Non-alcoholic fatty liver disease histology (other)"	20
"Non-melanoma skin cancer"	4
"Non-obstructive azoospermia"	5
"Non-small cell lung cancer"	17
"Non-small cell lung cancer (recurrence rate)"	6
"Non-small cell lung cancer (survival)"	6
"Non-substance related behavioral disinhibition"	4
"Non-word repetition"	5
"Nonalcoholic fatty liver disease"	6
"Nonsyndromic cleft lip with or without cleft palate"	6
"Normalized brain volume"	5
"Number of children"	8
"Number of children (6+ vs. 0 or 1)"	11
"Number of pregnancies"	12
"Obesity"	96
"Obesity (early onset extreme)"	24
"Obesity (extreme)"	17
"Obesity and osteoporosis"	2
"Obesity-related traits"	957
"Obsessive-compulsive disorder"	5
"Odorant perception (beta-damascenone)"	1
"Odorant perception (beta-ionone)"	1
"Odorant perception (isobutyraldehyde)"	1
"Oleic acid (18:1n-9) plasma levels"	9
"Oligoclonal band status in multiple sclerosis"	5
"Opioid sensitivity"	4
"Optic cup area"	46
"Optic disc area"	33
"Optic disc parameters"	3
"Optic nerve measurement (cup area)"	8
"Optic nerve measurement (cup-to-disc ratio)"	3
"Optic nerve measurement (disc area)"	7
"Optic nerve measurement (rim area)"	6
"Orofacial clefts"	58
"Orofacial clefts (interaction)"	2
"Orthostatic hypotension"	5
"Ossification of the posterior longitudinal ligament of the spine"	8
"Osteoarthritis"	8
"Osteoarthritis (hand, severe)"	1
"Osteoarthritis (hip)"	5
"Osteoarthritis biomarkers"	4
"Osteonecrosis of the jaw"	1
"Osteoporosis"	3
"Osteoporosis-related phenotypes"	8
"Osteoprotegerin levels"	4
"Osteosarcoma"	6
"Other erythrocyte phenotypes"	4
"Otitis media (chronic/recurrent)"	1
"Otosclerosis"	1
"Ovarian cancer"	27
"Ovarian cancer in BRCA1 mutation carriers"	7
"Ovarian reserve"	7
"Overweight status"	3
"P wave duration"	3
"Paclitaxel-induced neuropathy"	10
"Paget's disease"	13
"Pain"	4
"Palmitic acid (16:0) plasma levels"	12
"Palmitoleic acid (16:1n-7) plasma levels"	15
"Pancreatic cancer"	49
"Pancreatitis"	5
"Panic disorder"	17
"Paraoxonase activity"	2
"Parasitemia in Tripanosoma cruzi seropositivity"	24
"Parent of origin effect on language impairment (paternal)"	4
"Parkinson disease and lewy body pathology"	10
"Parkinson's disease"	120
"Parkinson's disease (age of onset)"	5
"Parkinson's disease (familial)"	1
"Parkinson's disease (motor and cognition)"	5
"Partial epilepsies"	6
"PCA3 expression level"	4
"Peanut allergy"	1
"Percent mammographic density"	7
"Pericardial fat"	1
"Periodontal disease-related phenotypes"	10
"Periodontal microbiota"	16
"Periodontitis"	6
"Periodontitis (CDC/AAP)"	28
"Periodontitis (DPAL)"	15
"Periodontitis (Mean PAL)"	37
"Periodontitis (PAL4Q3)"	18
"Peripheral artery disease"	5
"Permanent tooth development"	4
"Personality dimensions"	22
"Personality traits in bipolar disorder"	7
"Phospholipid levels (plasma)"	72
"Phosphorus levels"	5
"Phytosterol levels"	3
"Pit-and-Fissure caries"	22
"Plasma amyloid beta peptide concentrations (ABx-40)"	10
"Plasma amyloid beta peptide concentrations (ABx-42)"	8
"Plasma cystastin c levels in acute coronary syndrome"	2
"Plasma homocysteine levels (post-methionine load test)"	5
"Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)"	6
"Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)"	8
"Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)"	8
"Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)"	10
"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)"	8
"Plasma plasminogen activator levels"	5
"Plasma plasminogen levels"	4
"Plasma renin activity levels"	3
"Plasma thyroid-stimulating hormone levels"	3
"Plasminogen activator inhibitor type 1 levels (PAI-1)"	4
"Platelet aggregation"	15
"Platelet counts"	91
"Platelet function and related traits"	1
"Pneumoconiosis in silica exposure"	3
"Political ideology"	19
"Polycystic ovary syndrome"	19
"Post-traumatic stress disorder"	25
"Post-traumatic stress disorder (asjusted for relatedness)"	19
"PR interval"	36
"PR interval in Tripanosoma cruzi seropositivity"	102
"PR segment"	8
"Preeclampsia"	18
"Premature ovarian failure"	1
"Preschool internalizing problems"	13
"Presence of antiphospholipid antibodies"	13
"Primary biliary cirrhosis"	46
"Primary sclerosing cholangitis"	2
"Primary tooth development (number of teeth)"	20
"Primary tooth development (time to first tooth eruption)"	19
"Prion diseases"	11
"Progranulin levels"	1
"Progressive supranuclear palsy"	11
"Proinsulin levels"	10
"Prostate cancer"	183
"Prostate cancer (early onset)"	9
"Prostate cancer (gene x gene interaction)"	51
"Prostate-specific antigen levels"	12
"Protein biomarker"	2
"Protein C levels"	8
"Protein quantitative trait loci"	49
"Prothrombin time"	2
"Psoriasis"	62
"Psoriatic arthritis"	5
"Psychosis (atypical)"	10
"Psychosis (methamphetamine induced)"	1
"Psychosis and Alzheimer's disease"	11
"Psychosis in Alzheimer's disease"	8
"Pubertal anthropometrics"	25
"Puberty onset"	2
"Puberty onset (breast development)"	2
"Puberty onset (genital enlargement)"	1
"Pulmonary arterial hypertension (without BMPR2 mutations)"	1
"Pulmonary artery enlargement and chronic obstructive pulmonary disease"	1
"Pulmonary artery enlargement in chronic obstructive pulmonary disease"	2
"Pulmonary emphysema"	3
"Pulmonary function"	67
"Pulmonary function (interaction)"	51
"Pulmonary function decline"	39
"Pulmonary function in asthmatics"	10
"Pulse pressure (alcohol consumption interaction)"	4
"Pulse pressure in young-onset hypertension"	1
"Pyoderma gangrenosum in inflammatory bowel disease"	7
"QRS duration"	27
"QRS duration in Tripanosoma cruzi seropositivity"	38
"QT interval"	156
"QT interval (interaction)"	17
"QT interval in Tripanosoma cruzi seropositivity"	14
"Quantitative traits"	33
"Radiation response"	12
"Reading and spelling"	10
"Reading or mathematical ability"	2
"Recombination measurement"	5
"Recombination measurement (females)"	1
"Recombination measurement (males)"	1
"Recombination rate (females)"	1
"Recombination rate (males)"	1
"Red blood cell count"	8
"Red blood cell fatty acid levels"	13
"Red blood cell traits"	84
"Red vs non-red hair color"	1
"Red vs. non-red hair color"	2
"Red wine liking"	2
"Refractive astigmatism"	17
"Refractive error"	29
"Relative hand skill"	3
"Relative hand skill in reading disability"	10
"Renal cell carcinoma"	14
"Renal function and chronic kidney disease"	4
"Renal function-related traits (BUN)"	15
"Renal function-related traits (eGRFcrea)"	10
"Renal function-related traits (sCR)"	9
"Renal function-related traits (urea)"	4
"Renal sinus fat"	8
"Renal transplant outcome"	4
"Resistin levels"	5
"Response to abacavir-containing treatment in HIV-1 infection (virologic failure)"	27
"Response to acetaminophen (hepatotoxicity)"	5
"Response to alcohol consumption (flushing response)"	3
"Response to amphetamines"	86
"Response to angiotensin II receptor blocker therapy"	20
"Response to angiotensin II receptor blocker therapy (opposite direction w/ diuretic therapy)"	5
"Response to anti-depressant treatment in major depressive disorder"	22
"Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 1 peripheral neuropathy)"	11
"Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 2 peripheral neuropathy)"	13
"Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 3 peripheral neuropathy)"	16
"Response to anti-TNF alpha therapy in inflammatory bowel disease"	4
"Response to anti-TNF treatment in rheumatoid arthritis"	5
"Response to antidepressant treatment (citalopram)"	3
"Response to antidepressants"	9
"Response to antineoplastic agents"	9
"Response to antipsychotic therapy (extrapyramidal side effects)"	18
"Response to antipsychotic treatment"	57
"Response to antipsychotic treatment in schizophrenia (reasoning)"	10
"Response to antipsychotic treatment in schizophrenia (working memory)"	11
"Response to chemotherapy in breast cancer (hypertension) (bevacizumab)"	3
"Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)"	13
"Response to cholinesterase inhibitors in Alzheimer's disease"	3
"Response to citalopram treatment"	24
"Response to clopidogrel therapy"	1
"Response to cytadine analogues (cytosine arabinoside)"	22
"Response to cytidine analogues (gemcitabine)"	10
"Response to dabigatran etexilate treatment"	2
"Response to Dalcetrapib treatment in acute coronary syndrome"	1
"Response to diuretic therapy"	3
"Response to diuretic therapy in hypertension"	1
"Response to efavirenz-containing treatment in HIV 1 infection (virologic failure)"	34
"Response to fenofibrate"	9
"Response to fenofibrate (adiponectin levels)"	12
"Response to gemcitabine in pancreatic cancer"	5
"Response to haloperidol in psychosis"	2
"Response to hepatitis C treatment"	19
"Response to Homoharringtonine (cytotoxicity)"	9
"Response to iloperidone treatment (QT prolongation)"	6
"Response to inhaled corticosteroid treatment in asthma (percentage change of FEV1)"	21
"Response to inhaled glucocorticoid treatment in asthma (percentage change of FEV1)"	2
"Response to interferon beta therapy"	2
"Response to irinotecan and platinum-based chemotherapy in non-small-cell lung cancer"	7
"Response to irinotecan in non-small-cell lung cancer"	2
"Response to metformin"	1
"Response to metformin in type 2 diabetes (glycemic)"	1
"Response to methotrexate in juvenile idiopathic arthritis"	17
"Response to methotrexate in rheumatoid arthritis"	2
"Response to methylphenidate treatment in attention-deficit/hyperactivity disorder (blood pressure)"	7
"Response to mTOR inhibitor (everolimus)"	8
"Response to mTOR inhibitor (rapamycin)"	5
"Response to platinum-based agents"	3
"Response to platinum-based chemotherapy (carboplatin)"	18
"Response to platinum-based chemotherapy (cisplatin)"	21
"Response to platinum-based chemotherapy in non-small-cell lung cancer"	6
"Response to protease inhibitor treatment in hepatitis c (bilirubin toxicity)"	1
"Response to protease inhibitor treatment in hepatitis c (peak serum total bilirubin levels)"	2
"Response to radiotherapy in cancer (late toxicity)"	10
"Response to radiotherapy in prostate cancer (toxicity)"	1
"Response to serotonin reuptake inhibitors in major depressive disorder"	20
"Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)"	15
"Response to simvastatin treatment (PCSK9 protein level change)"	7
"Response to statin therapy"	38
"Response to statin therapy (LDL-C)"	8
"Response to statins (LDL cholesterol change)"	6
"Response to tamoxifen in breast cancer"	1
"Response to taxane treatment (docetaxel)"	15
"Response to taxane treatment (placlitaxel)"	13
"Response to temozolomide"	1
"Response to thiopurine immunosuppressants in inflammatory bowel disease (pancreatitis) (azathioprine and mercaptopurine)"	1
"Response to TNF antagonist treatment"	8
"Response to TNF-alpha inhibitors in rheumatoid arthritis"	8
"Response to tocilizumab in rheumatoid arthritis"	28
"Response to treatment for acute lymphoblastic leukemia"	12
"Response to Vitamin E supplementation"	8
"Resting heart rate"	14
"Resting oxygen saturation in chronic osbtructive pulmonary disease (pulse oxymetry)"	2
"Restless legs syndrome"	12
"Retinal arteriolar caliber"	2
"Retinal vascular caliber"	5
"Retinol levels"	2
"Retinopathy in non-diabetics"	11
"Rhegmatogenous retinal detachment"	4
"Rheumatoid arthritis"	294
"Rheumatoid arthritis (ACPA-negative)"	6
"Ribavirin-induced anemia"	1
"RR interval (heart rate)"	20
"Sagittal craniosynostosis"	2
"Sarcoidosis"	3
"Schizophrenia"	248
"Schizophrenia (age at onset)"	2
"Schizophrenia (cytomegalovirus infection interaction)"	1
"Schizophrenia (negative symptoms)"	3
"Schizophrenia (treatment resistant)"	3
"Schizophrenia or bipolar disorder"	12
"Schizophrenia, bipolar disorder and depression (combined)"	5
"Schizophrenia, schizoaffective disorder or bipolar disorder"	5
"Sclerosing cholangitis and ulcerative colitis (combined)"	2
"Scoliosis"	3
"Seasonality"	8
"Select biomarker traits"	21
"Self-employment"	2
"Self-rated health"	10
"Self-reported allergy"	35
"Sensory disturbances after bilateral sagittal split ramus osteotomy"	7
"Sepsis from pneumonia (survival)"	2
"Serum albumin level"	16
"Serum alkaline phosphatase levels"	4
"Serum ceruloplasmin levels"	1
"Serum dimethylarginine levels (asymmetric/symetric ratio)"	24
"Serum ferritin levels"	1
"Serum IgA levels"	1
"Serum IgE levels"	1
"Serum lipase activity"	2
"Serum metabolite levels"	19
"Serum prostate-specific antigen levels"	7
"Serum protein levels (sST2)"	14
"Serum selenium levels"	4
"Serum tamsulosin hydrochloride concentration"	4
"Serum thyroid-stimulating hormone levels"	22
"Serum total protein level"	12
"Serum uric acid levels"	9
"Serum VEGFR2 concentration"	1
"Serum vitamin D-binding protein levels"	3
"Sex hormone-binding globulin levels"	38
"Sexual dimorphism in anthropometric traits"	10
"Sexual dysfunction (female)"	3
"Sexual dysfunction (SSRI/SNRI-related)"	5
"Shingles"	2
"Sickle cell anemia (haemolysis)"	4
"Sj**gren's syndrome"	5
"Skin pigmentation"	3
"Skin sensitivity to sun"	4
"Sleep depth"	2
"Sleep duration"	20
"Sleep quality"	7
"Sleep time"	5
"Sleep-related phenotypes"	5
"Small-cell lung cancer (survival)"	1
"Smoking behavior"	46
"Smoking cessation"	5
"Smoking cessation in chronic obstructive pulmonary disease"	8
"Smoking initiation"	27
"Smoking quantity"	8
"Smooth-surface caries"	42
"Social autistic-like traits"	6
"Social communication problems"	21
"Soluble E-selectin levels"	1
"Soluble ICAM-1"	7
"Soluble leptin receptor levels"	1
"Soluble levels of adhesion molecules"	5
"Speech perception in dyslexia"	2
"Sphingolipid levels"	15
"Spine bone size"	1
"Spontaneous preterm birth (preterm birth)"	5
"Spontaneous preterm birth (preterm delivery)"	2
"Squamous cell carcinoma"	1
"Staphylococcus aureus infection"	4
"Stearic acid (18:0) plasma levels"	11
"Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)"	1
"Stroke"	6
"Stroke (ischemic)"	10
"Stroke (pediatric)"	4
"Subclinical atherosclerosis traits (other)"	8
"Subcortical brain region volumes"	12
"Subcutaneous adipose tissue"	39
"Substance dependence"	1
"Sudden cardiac arrest"	50
"Suicidal ideation"	4
"Suicidal ideation in depression or bipolar disorder"	1
"Suicide attempts in bipolar disorder"	3
"Suicide attempts in depression or bipolar disorder"	3
"Suicide in bipolar disorder"	4
"Suicide risk"	4
"Sunburns"	4
"Superior frontal gyrus grey matter volume"	11
"Symmetrical dimethylarginine levels"	31
"Systemic lupus erythematosus"	132
"Systemic lupus erythematosus and Systemic sclerosis"	20
"Systemic sclerosis"	29
"Systolic blood pressure"	45
"Systolic blood pressure (alcohol consumption interaction)"	11
"Systolic blood pressure in sickle cell anemia"	10
"Tanning"	15
"Tardive dyskinesia"	1
"Telomere length"	31
"Temperament"	16
"Temperament (bipolar disorder)"	13
"Temporomandibular joint disorders"	1
"Testicular cancer"	3
"Testicular germ cell cancer"	6
"Testicular germ cell tumor"	40
"Testosterone levels"	7
"Tetralogy of Fallot"	6
"Thiazide-induced adverse metabolic effects in hypertensive patients"	59
"Thoracic aortic aneurysms and dissections"	1
"Thrombin generation potential phenotypes"	4
"Thyroid cancer"	7
"Thyroid cancer (Papillary, radiation-related)"	1
"Thyroid function"	4
"Thyroid hormone levels"	60
"Thyroid peroxidase antibody levels"	5
"Thyroid peroxidase antibody positivity"	11
"Thyroid stimulating hormone"	4
"Thyroid volume"	8
"Thyrotoxic hypokalemic periodic paralysis"	2
"Toenail selenium levels"	16
"Tonometry"	13
"Tooth agenesis (mandibular third molar)"	2
"Tooth agenesis (third molar)"	1
"Total bilirubin levels in HIV-1 infection"	11
"Total ventricular volume"	19
"Tourette syndrome"	7
"Tourette's syndrome or obsessive-compulsive disorder"	15
"Trans fatty acid levels"	131
"Treatment response for severe sepsis"	8
"Triglycerides"	160
"Triglycerides-Blood Pressure (TG-BP)"	6
"Tuberculosis"	44
"Tumor biomarkers"	11
"Two-hour glucose challenge"	5
"Type 1 diabetes"	97
"Type 1 diabetes autoantibodies"	23
"Type 1 diabetes nephropathy"	11
"Type 2 diabetes"	340
"Type 2 diabetes (dietary heme iron intake interaction)"	4
"Type 2 diabetes (young onset) and obesity"	2
"Type 2 diabetes and other traits"	6
"Type 2 diabetes nephropathy"	6
"Ulcerative colitis"	161
"Ulcerative colitis or Crohn's disease"	2
"Underweight status"	2
"Upper aerodigestive tract cancers"	5
"Urate levels"	73
"Urgency urinary incontinence"	6
"Uric acid levels"	41
"Urinary albumin excretion"	3
"Urinary albumin excretion rate in type 1 diabetes"	2
"Urinary bladder cancer"	7
"Urinary metabolites"	5
"Urinary metabolites (H-NMR features)"	39
"Urinary symptoms in response to radiotherapy in prostate cancer"	1
"Urinary uromodulin levels"	5
"Uterine fibroids"	5
"Vaccine-related adverse events"	2
"Vascular brain injury"	14
"Vascular dementia"	1
"Vascular endothelial growth factor levels"	4
"Vaspin levels"	1
"Venous thromboembolism"	28
"Venous thromboembolism (gene x gene interaction)"	36
"Verbal declarative memory"	43
"Vertical cup-disc ratio"	27
"Very long-chain saturated fatty acid levels (fatty acid 20:0)"	21
"Very long-chain saturated fatty acid levels (fatty acid 22:0)"	11
"Very long-chain saturated fatty acid levels (fatty acid 24:0)"	4
"Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia"	5
"Visceral adipose tissue adjusted for BMI"	44
"Visceral adipose tissue/subcutaneous adipose tissue ratio"	42
"Visceral fat"	39
"Vitamin B levels in ischemic stroke"	8
"Vitamin B12 levels"	7
"Vitamin D insufficiency"	3
"Vitamin D levels"	15
"Vitamin E levels"	3
"Vitiligo"	37
"Vitiligo (non-segmental)"	1
"Vogt-Koyanagi-Harada syndrome"	4
"Volumetric brain MRI"	5
"vWF and FVIII levels"	11
"Waist circumference"	24
"Waist Circumference - Triglycerides (WC-TG)"	7
"Waist circumference and related phenotypes"	4
"Waist-hip ratio"	26
"Waist-to-hip circumference ratio (interaction)"	14
"Warfarin maintenance dose"	13
"Wegener's granulomatosis"	6
"Weight"	33
"Weight loss (gastric bypass surgery)"	12
"White blood cell count"	36
"White blood cell types"	20
"White matter hyperintensity burden"	2
"White matter hyperintensity volume in cerebral autosomal-dominant arteriopathy with subcortical infarcts and leukoencephalopathy"	4
"White matter integrity"	9
"White matter integrity (interaction)"	6
"White matter microstructure (global fractional anisotropy)"	5
"White wine liking"	2
"Wilms tumor"	7
"Word reading"	15
"Yang-deficiency constitution"	1
"YKL-40 levels"	1
